protocol,construction_stage,stage_valid,stage_complete,condition,context,attempt_id,repair_parent,schema_valid,backend_schema_valid,canonical_valid,mechanically_usable,quality_supported_direct_reference,quality_incorrect_binding,quality_unsupported_qualification,quality_unresolved,contextual_true_positive_count,contextual_false_positive_count,contextual_false_negative_count,contextual_precision_denominator,contextual_recall_denominator,structure_valid,scientific_accepted,strict_precision,strict_recall,strict_f1,node_f1,essential_temporal_accuracy,grounding_precision,citation_validity,rare_pivotal_recall,rare_support_path_survival,acceptance_gated_strict_f1,finish_reason,input_tokens,prepared_input_tokens,output_tokens,output_allowance,request_seconds,failure,transport_complete,http_status,request_transmitted,json_complete,failure_stage,generation_object_budget_valid,grounding_unresolved_count,description_unresolved_count
staged-development-v1,A,False,False,C2,2,nested-development-demonstration-20260908-attempt-10,,,,,,,,,,,,,,,,False,,,,,,,,,,,length,5795,5795,5120,5120,83.58459895569831,vLLM response is not one guided JSON choice,True,200,True,False,decoding,,,
staged-development-v1,A,False,False,C2,2,nested-development-demonstration-20260908-attempt-11,nested-development-demonstration-20260908-attempt-10,,,,,,,,,,,,,,,False,,,,,,,,,,,length,5863,5863,6144,6144,147.11445571109653,vLLM response is not one guided JSON choice,True,200,True,False,decoding,,,
staged-development-bounded-aux-v3,A,False,True,C2,1,nested-development-demonstration-20260908-attempt-12,,False,True,False,False,,,,,,,,,,,False,,,,,,,,,,,stop,5812,5812,2693,6144,98.54784069489688,generation schema failed; see full errors,True,200,True,True,canonical_or_assessment,True,,
staged-development-bounded-aux-v3,A,False,True,C2,1,nested-development-demonstration-20260908-attempt-13,nested-development-demonstration-20260908-attempt-12,False,True,False,False,,,,,,,,,,,False,,,,,,,,,,,stop,7993,7993,2686,4096,97.93575277738273,generation schema failed; see full errors,True,200,True,True,canonical_or_assessment,True,,
staged-development-bounded-aux-v3,A,False,True,C2,2,nested-development-demonstration-20260908-attempt-14,,False,True,False,False,,,,,,,,,,,False,,,,,,,,,,,stop,5783,5783,2535,6144,80.04774020146579,generation schema failed; see full errors,True,200,True,True,canonical_or_assessment,True,,
staged-development-bounded-aux-v3,A,False,True,C2,2,nested-development-demonstration-20260908-attempt-15,nested-development-demonstration-20260908-attempt-14,False,True,False,False,,,,,,,,,,,False,,,,,,,,,,,stop,7848,7848,2533,4096,80.99421244021505,generation schema failed; see full errors,True,200,True,True,canonical_or_assessment,True,,
staged-development-bounded-aux-v3,B,True,True,C2,2,nested-development-demonstration-20260908-attempt-16,,True,True,False,False,,,,,,,,,,,False,,,,,,,,,,,stop,7921,7921,592,4096,13.450025632977486,Confirmed source defects in intermediate stage,True,200,True,True,stage_semantic_validation,True,,
staged-development-bounded-aux-v3,C,True,True,C2,2,nested-development-demonstration-20260908-attempt-17,,True,True,True,True,0,0,1,0,0,1,7,1,7,False,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,stop,7671,7671,1304,4096,69.44677408691496,Rejected or unresolved development output; see source and component checks,True,200,True,True,scientific_or_structural_validation,True,1,1
,,,,C1,,nested-development-demonstration-20260908-attempt-04,nested-development-demonstration-20260908-attempt-01,,,,,,,,,,,,,,,False,,,,,,,,,,,,,7877,,4096,,Missing repair flag rejected the prepared call before a GPU event; subsequent bookkeeping masked the original exception. CPU-reproduced diagnosis; no new model response.,,,,,pre_generation_controller,,,
,,,,A-FixedSelect,1,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,No accepted sealed C1; not attempted,,,,,,,,
,,,,A-FixedSelect,2,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,No accepted sealed C1; not attempted,,,,,,,,
